run,exploration,score,mean_call_to_arrival,mean_assignment_to_arrival
0,0.02,-1723917.1387410257,16.916143222967293,16.40030000664453
1,0.02,-1915314.2893029202,17.775793627935844,17.255359569035328
2,0.02,-1874844.6534992566,17.54236541056093,17.023084661704182
3,0.02,-1710467.6146562751,16.775555467252453,16.258591908246157
4,0.02,-1881716.1498597285,17.601820665132447,17.080446921683972
5,0.02,-1703075.6756516364,16.82139793076109,16.303761652192634
6,0.02,-1858124.2733763708,17.4604909486151,16.948553430218972
7,0.02,-1870693.2305469709,17.59681386187709,17.07815538075572
8,0.02,-1830842.1954999932,17.45609747166038,16.94201547695546
9,0.02,-1903133.0502055618,17.555011884117302,17.052442462020387
10,0.02,-1880366.8585209867,17.64993447952637,17.136217135325314
11,0.02,-1663294.2329138808,16.674909085904904,16.17423421446725
12,0.02,-1973106.711325168,18.01270173799326,17.485108623999114
13,0.02,-1888301.6664288233,17.569727533801988,17.064235273421982
14,0.02,-1964439.8137705356,17.999035615367568,17.49475344224414
15,0.02,-1861893.230036267,17.486176153561665,16.97522881604381
16,0.02,-1866781.944624547,17.504048034725233,16.99591183608469
17,0.02,-1783549.1977698647,17.324170844186884,16.80667037511786
18,0.02,-1924247.832004675,17.778362823577474,17.268219045826942
19,0.02,-1903991.774250753,17.717711248804797,17.21812807120506
20,0.02,-1717474.7442141885,16.943457797656237,16.438304373978816
21,0.02,-1784162.8303974469,17.225531048611412,16.721258550752523
22,0.02,-1943179.02379104,17.858815595827945,17.348881237014965
23,0.02,-1819591.1195204335,17.24711090623396,16.736250469129082
24,0.02,-1941961.679592168,17.86479036385425,17.353657678307478
25,0.02,-1964010.106390265,18.02006286821657,17.499033254422255
26,0.02,-1881755.93111045,17.601096393950854,17.071021288320033
27,0.02,-1746609.8368753819,16.967282777153844,16.461739016321424
28,0.02,-1858722.2091858485,17.514338186699998,16.991132950403856
29,0.02,-1932701.2624203227,17.83549000632491,17.302436978795143
